"","ID_DIRECTORIO","ID_IDENTIFICACION","REGION_H","R_P_C","ESTH","SECH","TIPO","MESH","VIVH","HOGH","ANO_ENCUESTA","EDADJH","SEXOJH","CURSOJH","NIVELJH","TERMINO_NIVELJH","CINEJH","PROVEEDOR","NACIONALIDAD","CONYUGALJH","INFORMANTE","GRUPO_EDAD","TOTPERH","TOTMENH","TOTMAYH","TOTFTH","TOTOCUPH","TOTDESOH","TOTFFTH","PERCH","PERCOCUH","GRUJH1","CISEJH","B8JH","B9JH","B10JH","B11JH","B12JH","RAM_SUBCJH1","RAM_SUBCJH1_REV4CL_CAENES","RAMJH1","RAMJH1_REV4CL_CAENES","TEMJH","B16JH","MESES_EMPLEO","TME","B19JH","HOR_HABJH","HOR_EFEJH","GRU_CESJH1","CISE_CESJH","RAM_CESJH1","RAM_CESJH1_REV4CL_CAENES","SS_T","SVAR_T","REG_T","ING_T_D","GAN_T","ING_T_CP","ING_T_EMP","AUTOCONSUMO_T","AHORROIMP_T","ING_T_I","ING_T_I_AI","ING_OT","ING_T_T","ING_T_T_AI","ING_A_P","ING_A_OB","ING_A_T","TIPO_VIVIENDA","VIVIENDA_OTRO","ALQ_IMP","ING_CAH","ING_INT","ING_DIV","ING_P_T","JUBVEJEZ_T","JUBINVALIDEZ_T","MONTEPIO_T","ING_JUB","PORFAND_T","PDISCAP_T","PESTADO_T","PALIMENT_T","POTRAS_T","ING_PEN","SUF_T","SUBOTROS_T","ING_SUBE","ING_SUBC","BECAEST_T","DONACIONES_T","REMESAS_T","ING_BDR","SALEXT_T","OTRAFUENT_T","ING_OTROS","ING_AUT","ING_MON","ING_TOTAL","ING_TOTAL_E","ING_PROM","ING_PROM_AUT","CSE_ESPECIFICOJH","FACT_HOG","DECILH"
"82",20495,218844,13,13117,13121,NA,1,12,6,1,2016,72,1,5,3,2,3,1,"00",4,NA,7,3,0,3,2,2,0,1,3,2,NA,0,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,3,7,7,1349290.15861888,0,149921.128735431,1499211.28735431,0,0,0,0,0,0,0,0,1499211.28735431,1499211.28735431,0,0,0,3,"",199894.838313908,0,0,0,0,149921.128735431,0,0,149921.128735431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1649132.41608974,1649132.41608974,1849027.25440365,820665451.38434,616342.418134548,549710.805363246,17,443.836319572814,9
"83",22255,191461,14,14201,14039,65,3,11,15,1,2016,66,2,8,3,1,4,1,"00",3,1,7,1,0,1,0,0,0,1,1,0,NA,0,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2,7,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,"",1e+05,0,0,0,0,88000,0,0,88000,0,0,0,0,0,0,0,0,0,0,0,60000,0,60000,0,0,0,148000,148000,248000,29629101.6122644,248000,148000,26,119.472183920421,5
"84",21946,219341,5,5101,5101,NA,1,12,2,1,2016,83,1,5,9,1,7,1,"00",1,1,7,2,0,2,1,1,0,1,1,1,1,3,1,2,NA,2,1,"",NA,13,16,3,1,432,8,2,45,27,NA,NA,NA,NA,799579.35325563,0,0,799579.35325563,0,0,0,0,0,0,0,0,799579.35325563,799579.35325563,0,0,0,3,"",299842.257470861,0,0,0,0,1299316.4490404,0,0,1299316.4490404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2098895.80229603,2098895.80229603,2398738.05976689,298217605.107154,1199369.02988345,1049447.90114801,1,124.322705387905,10
"85",23906,223732,6,6101,6011,NA,1,12,3,1,2016,72,2,3,3,2,3,0,"00",5,1,7,6,1,5,3,3,0,2,4,3,NA,0,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,549710.805363246,0,0,549710.805363246,0,0,0,0,0,0,0,256864.867233371,806575.672596617,806575.672596617,0,0,0,3,"",99947.4191569538,0,0,0,0,0,0,0,0,0,0,92951.099815967,0,0,92951.099815967,0,0,0,0,104760.886863553,0,0,104760.886863553,0,0,0,1004287.65927614,1004287.65927614,1104235.07843309,295138819.26152,184039.179738848,167381.276546023,13,267.278974401286,3
"86",22317,225385,8,8110,8051,NA,1,12,4,1,2016,52,1,5,5,1,5,1,"00",4,1,5,2,0,2,1,1,0,1,2,1,5,3,1,2,NA,2,2,"4",3,4,3,5,1,312,8,2,45,45,NA,NA,NA,NA,449763.386206292,0,0,449763.386206292,0,0,0,0,0,0,0,0,449763.386206292,449763.386206292,0,0,0,3,"",149921.128735431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85750.8877399001,0,0,85750.8877399001,0,0,0,535514.273946192,535514.273946192,685435.402681623,176608373.189676,342717.701340811,267757.136973096,1,257.658668488281,7
"87",21060,229717,8,8101,8041,NA,1,12,6,1,2016,82,1,6,3,1,3,1,"00",1,1,7,2,0,2,0,0,0,2,1,0,NA,0,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,249868.547892384,0,249868.547892384,3,"",299842.257470861,0,0,0,249868.547892384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33982.1225133643,0,33982.1225133643,0,0,0,283850.670405749,283850.670405749,583692.92787661,107567490.752417,291846.463938305,141925.335202874,21,184.287808906187,6
"88",5242,205737,7,7404,7082,206,2,11,6,1,2016,72,1,3,5,2,5,1,"00",3,0,7,3,0,3,1,1,0,2,3,1,5,2,NA,NA,NA,NA,NA,"",NA,11,13,1,5,479,8,2,40,24,NA,NA,NA,NA,0,0,0,0,100234.54731335,100234.54731335,0,0,60000,100234.54731335,40234.54731335,0,100234.54731335,40234.54731335,0,0,0,6,"SUCESIÓN",150000,0,0,0,0,89000,0,175000,264000,0,0,93543,0,150000,243543,0,0,0,0,0,0,0,0,0,0,0,607777.54731335,607777.54731335,757777.54731335,143420327.121544,252592.515771117,202592.515771117,1,189.264418865446,5
"89",21472,209225,8,8111,8201,NA,1,12,2,1,2016,91,2,4,3,2,3,0,"00",4,0,7,2,0,2,1,1,0,1,2,1,NA,0,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,3,4,3,0,0,0,0,49973.7095784769,49973.7095784769,0,0,0,49973.7095784769,49973.7095784769,0,49973.7095784769,49973.7095784769,0,0,0,3,"",149921.128735431,0,0,0,0,159915.870651126,0,0,159915.870651126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,209889.580229603,209889.580229603,359810.708965034,130620817.245644,179905.354482517,104944.790114801,21,363.026485846861,3
"90",12343,194335,10,10305,10069,123,3,10,9,1,2016,61,1,2,4,2,5,1,"00",1,NA,6,2,0,2,2,2,0,0,2,2,6,2,NA,NA,NA,NA,NA,"",NA,1,1,1,8,178,8,2,49,49,NA,NA,NA,NA,0,0,0,0,103596.082134897,128637.800034071,0,25041.7178991745,75125.1536975235,128637.800034071,53512.6463365477,50083.435798349,178721.23583242,103596.082134897,0,0,0,3,"",50083.435798349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178721.23583242,178721.23583242,228804.671630769,16701464.8803358,114402.335815385,89360.6179162101,1,72.9944225408455,1
"91",22904,234330,10,10101,10071,NA,1,12,1,1,2016,22,1,3,4,2,5,0,"00",2,1,1,2,0,2,2,2,0,0,2,2,9,4,1,1,3,2,2,"11",14,14,17,4,1,2,1,2,72,72,NA,NA,NA,NA,476749.18937867,0,153972.997108054,630722.186486723,0,0,0,0,0,0,0,0,630722.186486723,630722.186486723,0,129931.64490404,129931.64490404,1,"",0,0,0,0,129931.64490404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,760653.831390763,760653.831390763,760653.831390763,135720387.673708,380326.915695382,380326.915695382,1,178.425956818701,7
"92",23965,225670,5,5601,5161,NA,1,10,4,1,2016,32,1,5,9,1,7,1,"00",2,1,3,2,0,2,2,1,1,0,1,1,2,4,1,1,4,2,3,"12",15,13,16,5,1,20,4,2,44,44,NA,NA,NA,NA,450750.922185141,66318.4823467418,0,517069.404531883,0,0,0,0,0,0,0,0,517069.404531883,517069.404531883,0,0,0,1,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,517069.404531883,517069.404531883,517069.404531883,18620540.8331728,258534.702265941,258534.702265941,1,36.0116856073326,5
